year,id,ext,den,cal,Reef
1955,141B14,0.8130,1.3510,1.0980,141
1956,141B14,0.7620,1.4060,1.0710,141
1957,141B14,0.8890,1.3540,1.2040,141
1958,141B14,0.8640,1.2500,1.0790,141
1959,141B14,1.0670,1.1640,1.2420,141
1960,141B14,0.9650,1.1840,1.1430,141
1961,141B14,1.0160,1.1990,1.2190,141
1962,141B14,0.8890,1.1930,1.0610,141
1963,141B14,1.2950,1.2700,1.6450,141
1964,141B14,1.1940,1.3620,1.6260,141
1965,141B14,1.0670,1.3490,1.4390,141
1966,141B14,1.1687,1.3480,1.5754,141
1967,141B14,0.9910,1.3720,1.3590,141
1968,141B14,1.0160,1.3550,1.3760,141
1969,141B14,1.1680,1.3210,1.5430,141
1970,141B14,0.9910,1.3100,1.2970,141
1971,141B14,1.0410,1.3350,1.3900,141
1972,141B14,1.1940,1.3330,1.5910,141
1973,141B14,1.0920,1.2770,1.3940,141
1974,141B14,1.2450,1.2380,1.5410,141
1975,141B14,0.7870,1.2590,0.9910,141
1976,141B14,1.3970,1.2770,1.7840,141
1977,141B14,0.9400,1.3190,1.2390,141
1978,141B14,0.9400,1.3260,1.2460,141
1979,141B14,1.1430,1.2860,1.4690,141
1980,141B14,1.1430,1.2440,1.4220,141
1981,141B14,1.0670,1.2430,1.3260,141
1982,141B14,1.3460,1.2980,1.7470,141
1983,141B14,0.9650,1.3180,1.2720,141
1984,141B14,0.8380,1.2900,1.0810,141
1985,141B14,0.8380,1.3160,1.1030,141
1986,141B14,0.7370,1.3270,0.9780,141
1987,141B14,0.6600,1.3500,0.8920,141
1988,141B14,0.8380,1.3170,1.1040,141
1972,200B05,1.0920,1.3400,1.4630,200
1973,200B05,1.4817,1.4020,2.0773,200
1974,200B05,1.1940,1.3980,1.6680,200
1975,200B05,1.1180,1.3960,1.5600,200
1976,200B05,1.2450,1.3020,1.6210,200
1977,200B05,1.3210,1.1960,1.5800,200
1978,200B05,1.5750,1.2000,1.8900,200
1979,200B05,1.4730,1.2340,1.8180,200
1980,200B05,1.5240,1.2850,1.9580,200
1981,200B05,1.3720,1.3150,1.8030,200
1982,200B05,1.3210,1.3350,1.7630,200
1983,200B05,1.1430,1.3010,1.4870,200
1984,200B05,1.0160,1.3200,1.3420,200
1985,200B05,1.4480,1.3220,1.9140,200
1986,200B05,1.3460,1.2400,1.6700,200
1987,200B05,1.1430,1.1870,1.3570,200
1988,200B05,1.2450,1.2660,1.5760,200
1940,200B09,0.6350,1.5550,0.9870,200
1941,200B09,0.5503,1.5710,0.8645,200
1942,200B09,0.5840,1.5760,0.9210,200
1943,200B09,0.5330,1.5600,0.8320,200
1944,200B09,0.5330,1.4950,0.7970,200
1945,200B09,0.6100,1.4070,0.8580,200
1946,200B09,0.6943,1.4810,1.0283,200
1947,200B09,0.6350,1.5030,0.9540,200
1948,200B09,0.6100,1.4860,0.9060,200
1949,200B09,0.6350,1.4800,0.9400,200
1950,200B09,0.6860,1.4950,1.0260,200
1951,200B09,0.6350,1.5130,0.9600,200
1952,200B09,0.5590,1.4890,0.8320,200
1953,200B09,0.5840,1.5090,0.8820,200
1954,200B09,0.6600,1.5370,1.0150,200
1955,200B09,0.5590,1.5350,0.8580,200
1956,200B09,0.5840,1.4450,0.8440,200
1957,200B09,0.4830,1.4550,0.7020,200
1958,200B09,0.6100,1.4710,0.8970,200
1959,200B09,0.6100,1.5130,0.9230,200
1960,200B09,0.5080,1.5180,0.7710,200
1961,200B09,0.6350,1.4620,0.9280,200
1962,200B09,0.5080,1.4930,0.7580,200
1963,200B09,0.6350,1.5630,0.9920,200
1964,200B09,0.5840,1.5720,0.9190,200
1965,200B09,0.5590,1.5480,0.8650,200
1966,200B09,0.4570,1.5490,0.7080,200
1967,200B09,0.6350,1.5480,0.9830,200
1968,200B09,0.5590,1.5400,0.8609,200
1969,200B09,0.6100,1.5290,0.9320,200
1970,200B09,0.6100,1.4810,0.9030,200
1971,200B09,0.4830,1.4960,0.7220,200
1972,200B09,0.5590,1.4680,0.8210,200
1973,200B09,0.7370,1.4940,1.1000,200
1974,200B09,0.6860,1.4900,1.0220,200
1975,200B09,0.6860,1.4910,1.0220,200
1976,200B09,0.7370,1.4650,1.0790,200
1977,200B09,0.7870,1.4740,1.1610,200
1978,200B09,0.7110,1.5020,1.0680,200
1979,200B09,0.7870,1.4610,1.1510,200
1980,200B09,0.6350,1.5010,0.9530,200
1981,200B09,0.7110,1.5080,1.0722,200
